variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,strong_reference_regression_rate,strong_easy_mean_dPSNR,strong_easy_p05_dPSNR,fold,gate_kind,threshold,threshold_low,gamma,tau,fold_tail_pass
V221_risk_temperature_gamma4p00,fold2,480,1.971977380911509,1.0912094116210938,-3.814697265625e-06,0.0,-0.0005750656127929688,4.30182588895162,0.3679783503214518,0.94375,0,0.0,120,0,0.0,0.3679783503214518,0.0,2,predicted_risk_temperature,,,4.0,,1
V221_risk_temperature_gamma4p00,fold3,480,1.951509702205658,1.1387138366699219,-0.004276313781738281,0.0,-0.006018161773681641,3.914462995529175,0.3481564521789551,0.9479166666666666,0,0.0,120,0,0.0,0.3481564521789551,0.0,3,predicted_risk_temperature,,,4.0,,1
V221_risk_temperature_gamma4p00,fold4,480,1.95288294951121,1.096658706665039,-1.0833740234375e-05,0.0,-0.0006756782531738281,4.202197233835856,0.48217573165893557,0.9458333333333333,0,0.0,120,0,0.0,0.48217573165893557,0.0,4,predicted_risk_temperature,,,4.0,,1
V221_risk_zero_t0p20,fold0,480,1.8120036125183105,0.8850231170654297,0.0,0.0,-0.004066149393717448,4.152619870503743,0.3226314544677734,0.5375,0,0.0,120,0,0.0,0.3226314544677734,0.0,0,predicted_risk_zero,0.2,,,,1
V221_risk_zero_t0p20,fold1,480,1.9387534022331239,1.0415840148925781,0.0,0.0,-0.042563438415527344,4.095558818181356,0.3931071917215983,0.5541666666666667,2,0.004166666666666667,120,0,0.0,0.3931071917215983,0.0,1,predicted_risk_zero,0.2,,,,1
V221_risk_zero_t0p20,fold2,480,1.944305678208669,1.0865135192871094,0.0,0.0,-0.01756175359090169,4.3278928597768145,0.28503182729085286,0.5520833333333334,1,0.0020833333333333333,120,0,0.0,0.28503182729085286,0.0,2,predicted_risk_zero,0.2,,,,1
V221_risk_zero_t0p20,fold3,480,1.8984069228172302,1.0521697998046875,0.0,0.0,-0.049221038818359375,3.936006848017375,0.285091495513916,0.5604166666666667,3,0.00625,120,0,0.0,0.285091495513916,0.0,3,predicted_risk_zero,0.2,,,,1
V221_risk_zero_t0p20,fold4,480,1.9013338287671406,1.0281848907470703,0.0,0.0,-0.03213707605997721,4.147722514470418,0.4326001167297363,0.5395833333333333,1,0.0020833333333333333,120,0,0.0,0.4326001167297363,0.0,4,predicted_risk_zero,0.2,,,,1
V221_risk_zero_t0p30,fold0,480,1.8924710909525553,1.1400089263916016,0.0,0.0,-0.09516445795694987,4.1696019490559895,0.4220097541809082,0.60625,2,0.004166666666666667,120,0,0.0,0.4220097541809082,0.0,0,predicted_risk_zero,0.3,,,,1
V221_risk_zero_t0p30,fold1,480,2.0315622687339783,1.317892074584961,-0.05098937988281249,0.0,-0.06282234191894531,4.138410011927287,0.48814684549967446,0.6291666666666667,2,0.004166666666666667,120,2,0.016666666666666666,0.48814684549967446,0.0,1,predicted_risk_zero,0.3,,,,1
