feature_set,probe,threshold,coverage,precision,recall
feature_set_1,mlp,0.4527729511260986,0.5400021362956633,0.7055681930570665,0.7620166631061739
feature_set_1,mlp,0.4678410112857818,0.5199743644520401,0.7136400986031224,0.7421491134372997
feature_set_1,mlp,0.48172514140605927,0.5,0.7213202307199317,0.7213202307199317
feature_set_1,mlp,0.4975085091590882,0.48002563554795985,0.729305740987984,0.7001709036530656
feature_set_1,mlp,0.511648120880127,0.4599978637043367,0.7383025658887727,0.6792352061525315
feature_set_1,mlp,0.526776888370514,0.4400234992522965,0.7463284379172229,0.6568041016876736
feature_set_1,mlp,0.542312297821045,0.41999572740867336,0.7544506612410987,0.6337321085238197
feature_set_1,mlp,0.5590011239051819,0.4000213629566332,0.7608811748998665,0.608737449262978
feature_set_1,mlp,0.5748849821090698,0.37999359111301007,0.7707659873506676,0.5857722708822901
feature_set_1,mlp,0.590854058265686,0.36001922666096986,0.7776294318350393,0.5599230933561204
feature_set_1,mlp,0.6069086754322052,0.3399914548173467,0.7879359095193214,0.5357829523606067
feature_set_1,mlp,0.6261669158935548,0.32001709036530657,0.7952269692923899,0.5089724417859431
feature_set_1,mlp,0.6431142628192902,0.2999893185216834,0.8070144205091686,0.48419141209143346
feature_set_1,mlp,0.6614066290855408,0.2800149540696432,0.8167079916078581,0.4573809015167699
feature_set_1,mlp,0.6811407291889191,0.2599871822260201,0.8280608052588332,0.43057039094210636
feature_set_1,mlp,0.7012900161743164,0.24001281777397993,0.8391188251001335,0.40279854731894893
feature_set_1,mlp,0.7233053195476532,0.22003845332193975,0.8536407766990292,0.3756675923947874
feature_set_1,mlp,0.7443631887435919,0.2000106814783166,0.8686248331108144,0.34746848963896604
feature_set_1,mlp,0.7685893678665162,0.18003631702627643,0.8801542568970632,0.31691946165349283
feature_set_1,mlp,0.7923538279533386,0.16000854518265328,0.8901869158878505,0.2848750267036958
feature_set_1,mlp,0.8191535437107087,0.1400341807306131,0.902745995423341,0.2528305917538987
feature_set_1,mlp,0.8453030204772951,0.12000640888698996,0.9167779261237206,0.22003845332193975
feature_set_1,mlp,0.8705648601055146,0.1000320444349498,0.9284570208222104,0.1857509079256569
feature_set_1,mlp,0.8958094644546508,0.08000427259132664,0.9412550066755674,0.15060884426404614
feature_set_1,mlp,0.9224871218204499,0.06002990813928648,0.9590747330960854,0.11514633625293741
feature_set_1,mlp,0.9540068888664246,0.04000213629566332,0.9826435246995995,0.07861568041016877
feature_set_1,mlp,0.9836254513263702,0.020027771843623157,0.9946666666666667,0.03984191412091433
feature_set_1,mlp,0.9991624355316162,5.3407391582995086e-05,1.0,0.00010681478316599017
feature_set_2,linear,0.013194083236157894,1.0,0.5,1.0
feature_set_2,linear,0.07483342453837394,0.9799722281563769,0.5095645539266445,0.9987182226020082
feature_set_2,linear,0.10952769488096237,0.9599978637043367,0.5185535465924895,0.9956205938901944
feature_set_2,linear,0.14491901874542235,0.9399700918607136,0.528125,0.9928434095278786
feature_set_2,linear,0.17867545902729035,0.9199957274086734,0.5372692441657959,0.988570818201239
feature_set_2,linear,0.21079201996326447,0.8999679555650502,0.5454275710640318,0.9817346720786156
feature_set_2,linear,0.2403864550590515,0.87999359111301,0.5534381258724282,0.9740440076906643
feature_set_2,linear,0.2651907765865326,0.8599658192693869,0.5620419823624394,0.966673787652211
feature_set_2,linear,0.2872599458694458,0.8399914548173467,0.5680951169888098,0.9543900875881222
feature_set_2,linear,0.30644489645957945,0.8199636829737236,0.5733081482446427,0.9401837214270455
feature_set_2,linear,0.322614985704422,0.7999893185216834,0.5793444155150544,0.9269386883144627
feature_set_2,linear,0.3394955110549927,0.7799615466780603,0.5864146809093399,0.9147618030335398
feature_set_2,linear,0.35578564524650574,0.7599871822260201,0.5930428671820098,0.9014099551377911
feature_set_2,linear,0.3703948324918747,0.7400128177739799,0.6003175519630485,0.8884853663747062
feature_set_2,linear,0.3841539537906647,0.7199850459303567,0.6069282694162154,0.8739585558641316
feature_set_2,linear,0.3978382647037506,0.7000106814783166,0.614175631342031,0.8598590044862209
feature_set_2,linear,0.41164960980415344,0.6799829096346934,0.6193056864593152,0.8422345652638326
feature_set_2,linear,0.42450787246227273,0.6600085451826533,0.6258294222366079,0.826105533005768
feature_set_2,linear,0.43724717617034914,0.6399807733390301,0.6304765083868814,0.8069856868190558
feature_set_2,linear,0.4492704004049301,0.62000640888699,0.6354552502368852,0.7879726554155095
feature_set_2,linear,0.4608953595161438,0.5999786370433668,0.6401993946946769,0.7682119205298014
feature_set_2,linear,0.4723474258184433,0.5800042725913266,0.6446593001841621,0.7478102969450972
feature_set_2,linear,0.4831895780563355,0.5599765007477034,0.6496900333810205,0.727622302926725
feature_set_2,linear,0.4947939443588257,0.5400021362956633,0.6555236870734843,0.7079683828241828
feature_set_2,linear,0.5055254602432251,0.5199743644520401,0.6611544782251438,0.6875667592394787
feature_set_2,linear,0.5172791182994843,0.5,0.6683400982696005,0.6683400982696005
feature_set_2,linear,0.5275003361701965,0.48002563554795985,0.6743435692033823,0.6474044007690665
feature_set_2,linear,0.5384997308254242,0.4599978637043367,0.6819923371647509,0.6274300363170263
feature_set_2,linear,0.5495112419128418,0.4400234992522965,0.6853987134360966,0.6031830805383465
feature_set_2,linear,0.5600847494602204,0.41999572740867336,0.6921414038657172,0.5813928647724845
feature_set_2,linear,0.5702306866645813,0.4000213629566332,0.6978638184245661,0.5583208716086306
feature_set_2,linear,0.5800257360935211,0.37999359111301007,0.7034434293745608,0.5346079897457808
feature_set_2,linear,0.5901969027519226,0.36001922666096986,0.7104287197745142,0.5115359965819269
feature_set_2,linear,0.6000644266605377,0.3399914548173467,0.7172478793590952,0.48771629993591115
feature_set_2,linear,0.6097780108451845,0.32001709036530657,0.7197930574098799,0.4606921597949156
feature_set_2,linear,0.6206066131591796,0.2999893185216834,0.7249421399323482,0.434949797051912
feature_set_2,linear,0.6307254338264465,0.2800149540696432,0.7304978065992752,0.40910061952574234
feature_set_2,linear,0.6416332817077637,0.2599871822260201,0.738290879211175,0.3838923306985687
feature_set_2,linear,0.6517887473106384,0.24001281777397993,0.7476635514018691,0.358897671437727
