variant,stage_set,action_family,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,target_bucket
rms_clip,S4_final_decoder,mild,40,0.019886875152587892,-0.9184162139892578,-1.043252944946289,0.325,0.15,easy_top25
rms_clip,S4_final_decoder,mild,40,0.2013167381286621,-0.2515460968017578,-0.4350271224975586,0.225,0.075,hard_bottom25
rms_clip,S4_final_decoder,mild,80,0.2260876178741455,-0.3902679443359375,-0.7072381973266602,0.2375,0.15,mid_50
rms_clip,S4_final_decoder,strong,40,-0.23234882354736328,-2.0774410247802733,-2.450054168701172,0.575,0.5,easy_top25
rms_clip,S4_final_decoder,strong,40,0.42954626083374026,-0.8841517448425293,-1.3670053482055664,0.3,0.275,hard_bottom25
rms_clip,S4_final_decoder,strong,80,0.36752800941467284,-1.7446161270141602,-2.358170509338379,0.3625,0.3375,mid_50
rms_clip,S5_bottleneck_mid,medium,40,0.09027776718139649,-0.9222251892089843,-1.1922969818115234,0.375,0.25,easy_top25
rms_clip,S5_bottleneck_mid,medium,40,0.47963862419128417,-0.35488271713256836,-0.5984325408935547,0.2,0.075,hard_bottom25
rms_clip,S5_bottleneck_mid,medium,80,0.4665221691131592,-0.7146120071411133,-1.1895675659179688,0.2625,0.2125,mid_50
rms_clip,S5_bottleneck_mid,mild,40,0.10266227722167968,-0.5236276626586914,-0.6275520324707031,0.25,0.125,easy_top25
rms_clip,S5_bottleneck_mid,mild,40,0.2895700931549072,-0.18198919296264648,-0.3059368133544922,0.075,0.05,hard_bottom25
rms_clip,S5_bottleneck_mid,mild,80,0.27459087371826174,-0.3306079864501953,-0.6261663436889648,0.2125,0.1,mid_50
rms_clip,S5_bottleneck_mid,strong,40,0.09258146286010742,-0.9435354232788086,-1.1963615417480469,0.375,0.25,easy_top25
rms_clip,S5_bottleneck_mid,strong,40,0.5863690853118897,-0.35484933853149414,-0.5984249114990234,0.2,0.175,hard_bottom25
rms_clip,S5_bottleneck_mid,strong,80,0.5396582603454589,-1.0522350311279296,-1.5999937057495117,0.3,0.25,mid_50
rms_clip,S6_early_mid_final,medium,40,-0.05219449996948242,-1.6025911331176759,-2.1937103271484375,0.525,0.4,easy_top25
rms_clip,S6_early_mid_final,medium,40,0.46861815452575684,-0.5797734260559082,-1.010331153869629,0.275,0.2,hard_bottom25
rms_clip,S6_early_mid_final,medium,80,0.4934525489807129,-1.18740234375,-1.669356346130371,0.3,0.2625,mid_50
rms_clip,S6_early_mid_final,mild,40,0.06446819305419922,-0.7706571578979492,-1.0571041107177734,0.275,0.225,easy_top25
rms_clip,S6_early_mid_final,mild,40,0.2762734413146973,-0.20273904800415038,-0.41211795806884766,0.225,0.05,hard_bottom25
rms_clip,S6_early_mid_final,mild,80,0.30120120048522947,-0.5233551025390625,-0.8273029327392578,0.25,0.15,mid_50
rms_clip,S6_early_mid_final,strong,40,-0.33202762603759767,-2.5221277236938477,-3.2904281616210938,0.575,0.55,easy_top25
rms_clip,S6_early_mid_final,strong,40,0.57089262008667,-1.1233929634094237,-1.7727508544921875,0.325,0.3,hard_bottom25
rms_clip,S6_early_mid_final,strong,80,0.49611845016479494,-2.286300277709961,-2.8502016067504883,0.3625,0.3625,mid_50
s5_only,S5_bottleneck_mid,medium,40,0.10523757934570313,-1.1241851806640626,-1.3598995208740234,0.375,0.25,easy_top25
s5_only,S5_bottleneck_mid,medium,40,0.53315110206604,-0.49620733261108396,-0.7515897750854492,0.225,0.075,hard_bottom25
s5_only,S5_bottleneck_mid,medium,80,0.4940026760101318,-0.7673240661621094,-1.2657194137573242,0.2625,0.2125,mid_50
s5_only,S5_bottleneck_mid,mild,40,0.10266227722167968,-0.5236276626586914,-0.6275520324707031,0.25,0.125,easy_top25
s5_only,S5_bottleneck_mid,mild,40,0.2895700931549072,-0.18198919296264648,-0.3059368133544922,0.075,0.05,hard_bottom25
